dns_has_a,dns_has_mx,domain_age_days,has_at,has_form_flag,has_hidden_iframe,has_ip,has_js_redirect,has_meta_refresh,has_ssl,in_blacklist,non_standard_port,path_length,query_length,ssl_hostname_match,typosquatting,url_flags_count,url_length,url_score_from_analyzer,label
0,0,-1,0,0,0,0,0,0,0,0,0,13,0,0,0,2,48,40,1
0,0,-1,0,0,0,0,0,0,0,0,0,10,0,0,0,4,46,60,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,47,60,1
0,0,-1,0,0,0,0,0,0,0,0,0,7,0,0,0,3,41,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,43,50,1
1,1,7298,0,0,0,0,0,0,1,0,0,17,5,1,0,0,49,0,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,36,60,1
1,1,9631,0,0,0,0,0,0,0,0,0,1,0,0,0,2,44,30,1
0,0,362,0,0,0,0,0,0,0,0,0,1,0,0,0,3,32,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,42,50,1
1,0,3524,0,0,0,0,0,0,0,0,0,14,0,0,0,2,45,30,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,39,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,37,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,45,60,1
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,50,1
0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,60,1
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,60,1
0,0,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,50,1
0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,50,1
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,60,1
